Respondent ID,Age group,Gender,Category,Marital status,Deciding factors to buy car,Likelihood of customised vehicle if FOC,Exterior components to customise,Interior components to customise,Customisation Budget,Interest in personalising car,Personalisation Budget,Any cadding experience,Singaporean design idea feedback,Total exterior parts to customise,Total interior parts to customise,Total factors to buy car
86a0425a-ff70-4e1f-945d-f2906e945a64,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Sustainability/environment considerations,Very likely,Bumpers,Steering wheel,500-1000,Yes,500-1000,"No, I would need a designer to model my sketch",-,1,1,1
f93551b0-11f0-4754-8206-8990b02998ba,51-60,Male,Own a car,Married with children,Price;Brand name;Aesthetics;Sustainability/environment considerations,Likely,Wheels;Grilles;Side mirrors;Bumpers,Steering wheel;Dashboard,500-1000,Yes,under 500,"No, I would need a designer to model my sketch",-,4,2,4
cfb6ca58-265e-4184-a337-4dd45388c468,31-40,Male,Own a car,Married with no children,Price;Brand name;Aesthetics;Size;Sustainability/environment considerations,Likely,Wheels;Grilles;Headlights,Steering wheel;Dashboard;air vent,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch","Bumper and Grilles can be re-designed as ""Sing"" words ",3,3,5
192bcff8-14ad-488e-9a18-27e778dc678b,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality,Very likely,Wheels;Headlights;Bumpers;add body kit and change the exhaust and tune the engine,Steering wheel;Centre compartment,under 500,Yes,0,"No, I would need a designer to model my sketch",make a custom body kit which is unique ,4,2,5
1ca68d6f-c656-416c-a4c8-c257c94da5a7,20-30,Female,Own a car,Married with children,Price;Brand name;Aesthetics;Technological features;Functionality;Sustainability/environment considerations,Very likely,Wheels;Grilles;Headlights,Centre compartment,under 500,No,under 500,"No, I would need a designer to model my sketch",-,3,1,6
1751437f-07c1-4f3d-a118-11615fdc0acb,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Functionality;Size;Sustainability/environment considerations,Very likely,Wheels,Steering wheel;Door handles,500-1000,Only with professional help,under 500,"Yes, I can design on my own",unique color,1,2,6
bd939f1f-892d-4b8b-a56e-b262867d5243,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features,Very likely,Wheels;Headlights,Steering wheel;Dashboard,over 1000,Yes,500-1000,"No, I would need a designer to model my sketch",-,2,2,3
f7268064-fcc6-4874-9d48-e3dcaf1c5cc9,20-30,Female,"Do not own a car, but planning to purchase in future",Married with children,Price;Aesthetics;Technological features;Customisable options;Sustainability/environment considerations,Very likely,Grilles;Bumpers,Centre compartment;Door handles;Dashboard,0,Only with professional help,500-1000,"No, I would need a designer to model my sketch",-,2,3,5
59cfc069-9114-4c2b-97ae-91254a3b87eb,31-40,Male,"Do not own a car, but planning to purchase in future",Married with no children,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels,Dashboard,500-1000,Yes,500-1000,"Yes, I can design on my own","compact, cheapest & safety design ",1,1,6
95f8a936-c93f-4b39-b4e5-6c9d98c589ec,31-40,Male,Own a car,Married with children,Price;Technological features;Functionality;Customisable options;Sustainability/environment considerations,Very likely,Wheels;Bumpers,Dashboard,over 1000,Yes,500-1000,"Yes, I can design on my own",-,2,1,5
64e43dd0-1c48-49da-855a-4c23da135418,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Size,Likely,Wheels;Headlights;Side mirrors,Steering wheel;Centre compartment;Door handles;Dashboard,500-1000,Yes,over 1000,"No, I would need a designer to model my sketch",Can be linked with some brands,3,4,4
